Mouse gene name	Gene name
Sfi1	SFI1
Rrp1b	RRP1B
Cdh7	CDH7
Pdxk	PDXK
Tpgs2	TPGS2
Medag	MEDAG
Col4a2	COL4A2
Rrp1	RRP1
Mc4r	MC4R
Slitrk6	SLITRK6
Tmx3	TMX3
Pcdh9	PCDH9
Agpat3	AGPAT3
Cacna1i	CACNA1I
Cdh20	CDH20
Trappc10	TRAPPC10
Ptpn2	PTPN2
Zmym5	ZMYM5
Pwp2	PWP2
Sox1	SOX1
Tex26	TEX26
Myo16	MYO16
Dyrk1a	DYRK1A
Phlpp1	PHLPP1
Tnrc6b	TNRC6B
Cdh19	CDH19
Col4a1	COL4A1
Isx	ISX
Mcat	MCAT
Enthd1	ENTHD1
2700062C07Rik	C18orf21
Lif	LIF
Prdm15	PRDM15
Cbx7	CBX7
Adra1d	ADRA1D
Rspo4	RSPO4
Kctd1	KCTD1
Defb23	DEFB129
Pnpla3	PNPLA3
Angpt4	ANGPT4
Gm5150	SIRPG
Sirpa	SIRPG
Sirpd	SIRPG
Sirpb1c	SIRPG
Sirpb1b	SIRPG
Sirpb1a	SIRPG
Efcab6	EFCAB6
Slc39a6	SLC39A6
Shld1	SHLD1
Zbtb14	ZBTB14
Slx4ip	SLX4IP
Irs2	IRS2
Defb26	DEFB125
Spaca7	SPACA7
Nkx2-2	NKX2-2
Galr1	GALR1
Bmp2	BMP2
Pdyn	PDYN
Tbc1d22a	TBC1D22A
Zfp521	ZNF521
Stoml3	STOML3
Fam110a	FAM110A
Ankrd10	ANKRD10
Insm1	INSM1
Defb20	DEFB128
Impact	IMPACT
Nalf1	NALF1
Tmem255b	TMEM255B
Btbd3	BTBD3
Cbln2	CBLN2
Pknox1	PKNOX1
Pcca	PCCA
Cbs	CBS
Nkx2-4	NKX2-4
Tmem230	TMEM230
Zbed4	ZBED4
Rpl3	RPL3
Tubgcp3	TUBGCP3
Pcsk2	PCSK2
Mbp	MBP
Cst8	CST8
Gtse1	GTSE1
Cryaa	CRYAA
Ism1	ISM1
U2af1	U2AF1
Syndig1	SYNDIG1
Eif4enif1	EIF4ENIF1
Grk1	GRK1
Xrn2	XRN2
Obi1	OBI1
Ubl3	UBL3
Setd4	SETD4
Snrpb2	SNRPB2
Flt3	FLT3
Zfp516	ZNF516
Cst7	CST7
Chst9	CHST9
Arglu1	ARGLU1
Apmap	APMAP
Farp1	FARP1
Bfsp1	BFSP1
Tmem241	TMEM241
Slc19a1	SLC19A1
Ggt1	GGTLC1
Samm50	SAMM50
Col18a1	COL18A1
Dstn	DSTN
Stk35	STK35
Scrt2	SCRT2
Ncoa6	NCOA6
Ttc38	TTC38
Fam216b	FAM216B
Elp2	ELP2
Gm23056	U6
Gm25091	SNORD102
Gm23202	SNORA27
Gm22701	Metazoa_SRP
Snord37	
Slc25a17	SLC25A17
Gm25390	RNU6-80P
Gm54495	
Gm54442	RNU6-77P
Gm55060	RNU6-38P
Gm26038	RNU6-67P
Gm23615	
Gm55183	
Gm23246	SNORD31B
Gm23212	
Gm24134	SNORD36
Gm23431	RNU6-58P
Gm23337	RNU6-58P
Defb22	DEFB127
Itm2b	ITM2B
Sptlc3	SPTLC3
Triobp	TRIOBP
Trim13	TRIM13
Fam3b	FAM3B
Kcnrg	KCNRG
Defb28	DEFB115
Mir15a	MIR15A
Rnaseh2b	RNASEH2B
Gm23939	
Gm56130	
Gm22358	
Gm55577	
Gm23404	
Gm25188	
Gm23406	
Adamts1	ADAMTS1
Ttll12	TTLL12
Mis18a	MIS18A
Cd226	CD226
Mrap	MRAP
Wdr4	WDR4
Prr5	PRR5
Rnf125	RNF125
Jag1	JAG1
Pign	PIGN
Ndufv3	NDUFV3
Slc23a2	SLC23A2
Gabpa	GABPA
Pim3	PIM3
Clic6	CLIC6
Dennd6b	DENND6B
Pigp	PIGP
Cstdc2	CST9L
Cst9	CST9L
Kcne2	KCNE2
Tpte	TPTE
Cerk	CERK
Tasp1	TASP1
Wfdc9	WFDC9
Ppp6r2	PPP6R2
Soga1	SOGA1
Wfdc10	WFDC10A
Synj1	SYNJ1
Ppp1r16b	PPP1R16B
Dhx35	DHX35
Fam124a	FAM124A
Zar1l	ZAR1L
N4bp2l1	N4BP2L1
Rbm11	RBM11
Prr14l	PRR14L
Hspa13	HSPA13
Rtl6	RTL6
Psmg1	PSMG1
Fam83f	FAM83F
Pvalb	PVALB
Tox2	TOX2
Rfxap	RFXAP
Alg12	ALG12
Trpc4	TRPC4
Eya2	EYA2
Syngr1	SYNGR1
Sez6l	SEZ6L
Wfdc11	WFDC11
Elmo2	ELMO2
Rasl11a	RASL11A
Gm24623	RNU2-6P
Gm22073	RNU2-6P
Gm25259	RNU2-6P
Cpb2	CPB2
Mocos	MOCOS
Lcp1	LCP1
Neto1	NETO1
Siah3	SIAH3
Cndp2	CNDP2
Ift27	IFT27
Nalcn	NALCN
Pdgfb	PDGFB
Mpped1	MPPED1
Ripor3	RIPOR3
Spata2	SPATA2
Parvg	PARVG
Fam83d	FAM83D
Dscam	DSCAM
Slc2a10	SLC2A10
Cndp1	CNDP1
Kcnb1	KCNB1
Kcnk15	KCNK15
Cdh22	CDH22
Ccdc168	CCDC168
Tex30	TEX30
Rnf114	RNF114
Bace2	BACE2
Twsg1	TWSG1
Bik	BIK
Bivm	BIVM
Dok6	DOK6
Ttll1	TTLL1
Slc35c2	SLC35C2
AW554918	KIAA1328
Gas6	GAS6
Ripk4	RIPK4
Abcg1	ABCG1
Pkdrej	PKDREJ
Ankrd54	ANKRD54
Gm25101	RNU6-916P
Gm55137	RNU6-903P
Nudt15	NUDT15
Gm23056	RNU6-721P
Med4	MED4
Gm54543	RNU6-408P
Gm25599	RNU6-1050P
Gm25964	RNU6-1242P
Mir187	MIR187
Gm23167	RNU6-706P
Gm24611	RNU6-737P
Gm25162	SNORA73
Gm24035	RNU6-116P
Prkx	PRKX
Gm24207	RNU6-142P
Gm22623	RNU6-39P
Gm54826	RNU6-655P
Rb1	RB1
Ncoa3	NCOA3
Tspo	TSPO
Sgcg	SGCG
Pias2	PIAS2
Rbm26	RBM26
Tff2	TFF2
Tff1	TFF1
Dnajb7	DNAJB7
Tmprss3	TMPRSS3
Amelx	AMELX
Patz1	PATZ1
Efnb2	EFNB2
Hdhd2	HDHD2
Asmt	ASMT
Dgkh	DGKH
Shisal1	SHISAL1
Xpnpep3	XPNPEP3
Gm24223	RNU6-1131P
Skor2	SKOR2
Mc3r	MC3R
Bpi	BPI
Tgif1	TGIF1
Znrf3	ZNRF3
Ubash3a	UBASH3A
Shroom2	SHROOM2
Pacsin2	PACSIN2
Prex1	PREX1
Taf4b	TAF4B
Sucla2	SUCLA2
Xlr5c	FAM9B
Gm1140	FAM9B
Gm14692	FAM9B
Xlr5b	FAM9B
Xlr5a	FAM9B
Gm25323	RNU6-1149P
Rsph1	RSPH1
Pmaip1	PMAIP1
Nova1	NOVA1
Dsg4	DSG4
Hccs	HCCS
Slc37a1	SLC37A1
Ptgis	PTGIS
Gm23056	U6
	NLGN4X
Gm54867	5_8S_rRNA
Gm23056	U6
Gm24686	RNU6-338P
Gm55357	SNORD83A
Snord83b	SNORD83B
Ighv2-6-8	
Ighv3-5	
Ighv2-4	
Ighv2-9	
Ighv2-3	
Ighv3-4	
Ighv2-2	
Ighv3-6	
Ighv3-3	
Ighv2-7	
Ighv3-1	
Ighv3-8	
Ighv12-3	
Ighv2-6	
Ighv2-9-1	
Ighv2-5	
Gm55823	RN7SKP214
Dsg3	DSG3
Gpr183	GPR183
Trdc	TRDC
Cbln4	CBLN4
Gm55862	SNORA31
Snora31	SNORA31
Gm24240	SNORA31
Gm24165	SNORA31
Abhd13	ABHD13
Pde9a	PDE9A
Atp9a	ATP9A
Esd	ESD
Ttr	TTR
Xlr5c	FAM9A
Gm1140	FAM9A
Gm14692	FAM9A
Xlr5b	FAM9A
Xlr5a	FAM9A
Nubpl	NUBPL
Rtcb	RTCB
Cdh2	CDH2
Htr2a	HTR2A
Raly	RALY
Tdrd3	TDRD3
Ighv7-1	IGHV3OR15-7
Ighv7-2	IGHV3OR15-7
Ighv7-3	IGHV3OR15-7
Ighv13-2	IGHV3OR15-7
Ighv7-4	IGHV3OR15-7
Snx6	SNX6
Srpx	SRPX
Ywhah	YWHAH
Spart	SPART
Asphd2	ASPHD2
Grpr	GRPR
Srrd	SRRD
Bend2	BEND2
Cfap61	CFAP61
Tfip11	TFIP11
Tmem47	TMEM47
Klhl34	KLHL34
Zfyve19	ZFYVE19
AKAP17A	AKAP17A
Stk24	STK24
Txndc16	TXNDC16
Gm26202	SNORD58C
Gm23301	SNORD58A
Gm22354	SNORD58B
Snord58b	SNORD58B
Lipg	LIPG
Smpx	SMPX
Crybb1	CRYBB1
Cryba4	CRYBA4
C1qtnf6	C1QTNF6
Cnksr2	CNKSR2
Trdv5	TRDV3
Ptgdr	PTGDR
Dym	DYM
Sstr3	SSTR3
Rcbtb2	RCBTB2
Snai1	SNAI1
Tmprss6	TMPRSS6
Fscb	FSCB
Psmc6	PSMC6
Tubal3	TUBAL3
Bmf	BMF
Gm25630	RNU1-46P
Mex3c	MEX3C
Adarb2	ADARB2
Slc17a9	SLC17A9
Oca2	OCA2
Slitrk1	SLITRK1
Alox5ap	ALOX5AP
Ucn3	UCN3
Ift88	IFT88
Tcf4	TCF4
Klf6	KLF6
Ppp1r3d	PPP1R3D
Pfdn4	PFDN4
Atp5f1c	ATP5F1C
Psma7	PSMA7
Rubcnl	RUBCNL
Gpr137c	GPR137C
Cdh26	CDH26
Specc1l	SPECC1L
Pcnx4	PCNX4
Tmtc4	TMTC4
Dph6	DPH6
Entpd6	ENTPD6
Gm14137	C15orf62
Itih2	ITIH2
Six1	SIX1
Spred1	SPRED1
Adora2a	ADORA2A
Ppp2r5e	PPP2R5E
Epsti1	EPSTI1
Fmn1	FMN1
Upb1	UPB1
Tnfrsf19	TNFRSF19
Snrpd3	SNRPD3
Ccdc3	CCDC3
Gabrg3	GABRG3
Rab20	RAB20
Kin	KIN
Cars2	CARS2
Lrrc75b	LRRC75B
Ggt1	GGT1
Acbd7	ACBD7
Prtg	PRTG
Styx	STYX
Styx-ps	STYX
Rpp38	RPP38
Itih5	ITIH5
Rcl1	RCL1
Otc	OTC
L3hypdh	L3HYPDH
Rad51	RAD51
Sytl5	SYTL5
4930447C04Rik	C14orf39
Kbtbd6	KBTBD6
Mtrf1	MTRF1
Pebp4	PEBP4
9930021J03Rik	KIAA2026
Rbbp8nl	RBBP8NL
Mrc1	MRC1
Ppp4r3c2	PPP4R3C
Ppp4r3c1	PPP4R3C
Naa16	NAA16
Cst10	CST3
Cst3	CST3
Six6	SIX6
Adgrg2	ADGRG2
Cntln	CNTLN
Gfra2	GFRA2
Six4	SIX4
Gid8	GID8
Golm2	GOLM2
Tmem215	TMEM215
Ifnab	IFNA16
Ifna9	IFNA16
Ifna2	IFNA16
Ifna13	IFNA16
Ifna5	IFNA16
Ifna14	IFNA16
Ifna7	IFNA16
Ifna1	IFNA16
Ifna15	IFNA16
Ifna11	IFNA16
Ifna16	IFNA16
Ifna4	IFNA16
Ifna6	IFNA16
Ifna12	IFNA16
Dmrta1	DMRTA1
Tafa5	TAFA5
Haus6	HAUS6
Cubn	CUBN
Mapk1	MAPK1
Pmepa1	PMEPA1
Ppm1a	PPM1A
Rgcc	RGCC
Sgcz	SGCZ
Vwa8	VWA8
Ccdc175	CCDC175
Cnot7	CNOT7
Mtmr3	MTMR3
Idh3b	IDH3B
Shc4	SHC4
Smu1	SMU1
Dhrs7l	DHRS7
Dhrs7	DHRS7
Sik1	SIK1
Trdmt1	TRDMT1
Hsf2bp	HSF2BP
Psip1	PSIP1
Rap2a	RAP2A
Pcnx	PCNX1
Aph1c	APH1B
Aph1b	APH1B
Egr3	EGR3
Lpar6	LPAR6
Dnmt3l	DNMT3L
Naxd	NAXD
Ebf2	EBF2
Eif2s2	EIF2S2
Aire	AIRE
Gja3	GJA3
Gjb2	GJB2
Frmd5	FRMD5
Gjb6	GJB6
Mindy3	MINDY3
Erich1	ERICH1
Sox18	SOX18
Acss1	ACSS1
Pfkl	PFKL
Vps37a	VPS37A
Zmym2	ZMYM2
Aptx	APTX
Armc3	ARMC3
Gphb5	GPHB5
Myo18b	MYO18B
Mnat1	MNAT1
Dok5	DOK5
Stc1	STC1
Ctdspl2	CTDSPL2
Trim35	TRIM35
B4galt5	B4GALT5
Ccdc177	CCDC177
Mak16	MAK16
Zfp64	ZFP64
Gm527	C14orf28
Cfap410	CFAP410
Hmbox1	HMBOX1
Dcaf4	DCAF4
Ccnb2	CCNB2
Pip4k2a	PIP4K2A
Gm25202	RNU2-7P
Eef1akmt1	EEF1AKMT1
Lats2	LATS2
Gm22871	
Gm22394	
Lrrc3	LRRC3
Sall4	SALL4
Tspear	TSPEAR
Gm25899	RNU4-9P
Cenpj	CENPJ
Ldhal6b	LDHAL6B
Cops2	COPS2
Bmp7	BMP7
4921504E06Rik	C10orf67
Krtap10-4	KRTAP10-6
Gm9507	KRTAP10-6
Gm9639	KRTAP10-6
Gm10318	KRTAP10-6
Gm3233	KRTAP10-6
Gm3250	KRTAP10-6
Gm3238	KRTAP10-6
Gm19668	KRTAP10-6
Gm7137	KRTAP10-6
Gm49918	KRTAP10-6
Gm9736	KRTAP10-6
Gm19402	KRTAP10-6
Krtap10-10	KRTAP10-6
Gm3285	KRTAP10-6
Gm7138	KRTAP10-6
Gm9508	KRTAP10-6
Gm36176	KRTAP10-6
Gm18596	KRTAP10-6
Gm4559	KRTAP10-6
Krtap5-2	KRTAP10-6
Gm40460	KRTAP10-6
Gm45618	KRTAP10-6
Gm10142	KRTAP10-6
Gm10100	KRTAP10-6
Gm10024	KRTAP10-6
Gm10272	KRTAP10-6
Krtap12-1	KRTAP10-6
Scp2d1	SCP2D1
Krtap10-4	KRTAP10-11
Gm9507	KRTAP10-11
Gm9639	KRTAP10-11
Gm10318	KRTAP10-11
Gm3233	KRTAP10-11
Gm3250	KRTAP10-11
Gm3238	KRTAP10-11
Gm19668	KRTAP10-11
Gm7137	KRTAP10-11
Gm49918	KRTAP10-11
Gm9736	KRTAP10-11
Gm19402	KRTAP10-11
Krtap10-10	KRTAP10-11
Gm3285	KRTAP10-11
Gm7138	KRTAP10-11
Gm9508	KRTAP10-11
Gm36176	KRTAP10-11
Gm18596	KRTAP10-11
Krtap1-4	KRTAP10-11
Krtap9-3	KRTAP10-11
Krtap1-3	KRTAP10-11
Krtap2-4	KRTAP10-11
Gm11937	KRTAP10-11
Gm11938	KRTAP10-11
Gm11562	KRTAP10-11
Krtap9-5	KRTAP10-11
Gm4559	KRTAP10-11
Krtap5-2	KRTAP10-11
Gm40460	KRTAP10-11
Gm45618	KRTAP10-11
Gm10142	KRTAP10-11
Gm10100	KRTAP10-11
Gm10024	KRTAP10-11
Gm10272	KRTAP10-11
Krtap12-1	KRTAP10-11
Bhlhe23	BHLHE23
Krtap10-4	KRTAP12-3
Gm9507	KRTAP12-3
Gm9639	KRTAP12-3
Gm10318	KRTAP12-3
Gm3233	KRTAP12-3
Gm3250	KRTAP12-3
Gm3238	KRTAP12-3
Gm19668	KRTAP12-3
Gm7137	KRTAP12-3
Gm49918	KRTAP12-3
Gm9736	KRTAP12-3
Gm19402	KRTAP12-3
Krtap10-10	KRTAP12-3
Gm3285	KRTAP12-3
Gm7138	KRTAP12-3
Gm9508	KRTAP12-3
Gm36176	KRTAP12-3
Gm18596	KRTAP12-3
Krtap10-4	KRTAP12-2
Gm9507	KRTAP12-2
Gm9639	KRTAP12-2
Gm10318	KRTAP12-2
Gm3233	KRTAP12-2
Gm3250	KRTAP12-2
Gm3238	KRTAP12-2
Gm19668	KRTAP12-2
Gm7137	KRTAP12-2
Gm49918	KRTAP12-2
Gm9736	KRTAP12-2
Gm19402	KRTAP12-2
Krtap10-10	KRTAP12-2
Gm3285	KRTAP12-2
Gm7138	KRTAP12-2
Gm9508	KRTAP12-2
Gm36176	KRTAP12-2
Gm18596	KRTAP12-2
Jkamp	JKAMP
Jkampl	JKAMP
Krtap10-4	KRTAP12-1
Gm9507	KRTAP12-1
Gm9639	KRTAP12-1
Gm10318	KRTAP12-1
Gm3233	KRTAP12-1
Gm3250	KRTAP12-1
Gm3238	KRTAP12-1
Gm19668	KRTAP12-1
Gm7137	KRTAP12-1
Gm49918	KRTAP12-1
Gm9736	KRTAP12-1
Gm19402	KRTAP12-1
Krtap10-10	KRTAP12-1
Gm3285	KRTAP12-1
Gm7138	KRTAP12-1
Gm9508	KRTAP12-1
Gm36176	KRTAP12-1
Gm18596	KRTAP12-1
Cdh4	CDH4
Ube2g2	UBE2G2
Sgsm3	SGSM3
Fut10	FUT10
Malrd1	MALRD1
Unc5d	UNC5D
Shisa2	SHISA2
Rxfp2	RXFP2
St8sia6	ST8SIA6
Pttg1ip	PTTG1IP
Ndrg3	NDRG3
Gad2	GAD2
Smad6	SMAD6
Ccdc171	CCDC171
Rai2	RAI2
Pofut2	POFUT2
Fry	FRY
Rhoj	RHOJ
Ctps2	CTPS2
Sltm	SLTM
Morc2a	MORC2
Morc2b	MORC2
Socs4	SOCS4
Msr1	MSR1
Kcnh5	KCNH5
Sh3gl2	SH3GL2
Mkx	MKX
Ifnab	IFNA7
Ifna9	IFNA7
Ifna2	IFNA7
Ifna13	IFNA7
Ifna5	IFNA7
Ifna14	IFNA7
Ifna7	IFNA7
Ifna1	IFNA7
Ifna15	IFNA7
Ifna11	IFNA7
Ifna16	IFNA7
Ifna4	IFNA7
Ifna6	IFNA7
Ifna12	IFNA7
Susd6	SUSD6
Lurap1l	LURAP1L
Gdf2	GDF2
Rps21	RPS21
S100g	S100G
Odad2	ODAD2
Pcbp3	PCBP3
H2ap	H2AP
Nfx1	NFX1
Rp2	RP2
Tfap2c	TFAP2C
Mbtps2	MBTPS2
Dpysl2	DPYSL2
Dgcr6	DGCR6
Egln3	EGLN3
Ss18l1	SS18L1
Gm56405	Metazoa_SRP
Gm56028	Metazoa_SRP
Gm54720	Metazoa_SRP
Gm27956	Metazoa_SRP
Gm56145	Metazoa_SRP
Gm55425	Metazoa_SRP
Gm56242	Metazoa_SRP
Gm25574	Metazoa_SRP
Gm55459	Metazoa_SRP
Pds5b	PDS5B
Nop56	NOP56
Secisbp2l	SECISBP2L
Scml2	SCML2
Itga8	ITGA8
Sptssa	SPTSSA
Fos	FOS
Rrp7a	RRP7A
Efhc2	EFHC2
Elavl2	ELAVL2
Tmprss2	TMPRSS2
Plekhd1	PLEKHD1
Gm56405	Metazoa_SRP
Gm56028	Metazoa_SRP
Gm54720	Metazoa_SRP
Gm27956	Metazoa_SRP
Gm56145	Metazoa_SRP
Gm55425	Metazoa_SRP
Gm56242	Metazoa_SRP
Gm25574	Metazoa_SRP
Gm55459	Metazoa_SRP
Slc39a12	SLC39A12
Med14	MED14
Utp14a	UTP14C
Utp14b	UTP14C
Ltbp2	LTBP2
Ints6	INTS6
Nptxr	NPTXR
Herc1	HERC1
Cbx6	CBX6
Grhpr	GRHPR
Slc25a37	SLC25A37
Nfatc2	NFATC2
Mboat4	MBOAT4
Dock5	DOCK5
Zfand4	ZFAND4
Chst7	CHST7
Usp27x	USP27X
Clcn5	CLCN5
Trpm6	TRPM6
Skor1	SKOR1
Isca2	ISCA2
Mx1	MX1
Mx2	MX1
Tab1	TAB1
Myo3a	MYO3A
Jdp2	JDP2
Leprotl1	LEPROTL1
Gm25323	RNU6-65P
Foxb1	FOXB1
Mtif3	MTIF3
Ccdc70	CCDC70
Gchfr	GCHFR
Gpr18	GPR18
Mgat3	MGAT3
Mtus2	MTUS2
Sycp2	SYCP2
Mief1	MIEF1
Car12	CA12
Spata7	SPATA7
Adra1a	ADRA1A
Tnfsf13b	TNFSF13B
Ptchd1	PTCHD1
Syap1	SYAP1
Dusp26	DUSP26
Nkx3-1	NKX3-1
Rnf6	RNF6
Rps19bp1	RPS19BP1
Cdkl5	CDKL5
Slc25a18	SLC25A18
Loxl2	LOXL2
Myo1e	MYO1E
Lca5l	LCA5L
Atp8a2	ATP8A2
Msrb2	MSRB2
Pax5	PAX5
Or13a1	OR13A1
Lama5	LAMA5
Ptf1a	PTF1A
Atp6v1e1	ATP6V1E1
Zdhhc2	ZDHHC2
Pcmtd1	PCMTD1
Togaram1	TOGARAM1
Rab8b	RAB8B
Atp5pf	ATP5PF
Bnip3l	BNIP3L
Sacs	SACS
Enkur	ENKUR
Bcl2l13	BCL2L13
Dnajc1	DNAJC1
Arih1	ARIH1
Lsm14b	LSM14B
Nudt11	NUDT11
Nudt10	NUDT11
Ap5m1	AP5M1
Phyhipl	PHYHIPL
Kif13b	KIF13B
Spatc1l	SPATC1L
Phactr3	PHACTR3
Lss	LSS
Tex29	TEX29
Tmem63c	TMEM63C
Rbp3	RBP3
Plcb2	PLCB2
Kctd12	KCTD12
Cln5	CLN5
Arhgap12	ARHGAP12
Fam236e	FAM236B
Fam236f	FAM236B
Ndp	NDP
Mical3	MICAL3
Rab40c	RAB40C
Slc35f4	SLC35F4
Dynlt3	DYNLT3
Fbxl3	FBXL3
Akap4	AKAP4
Bmp4	BMP4
Nhlrc4	NHLRC4
Serpine3	SERPINE3
Dctn6	DCTN6
Maob	MAOB
Tcea2	TCEA2
Fam234a	FAM234A
Aqp4	AQP4
